id,smiles
CHEMBL407501,CCOc1ccc(NC(=O)c2ccccc2OC)cc1
CHEMBL2324069,Fc1ccc(C[C@H]2CC(c3ccc(Cl)cc3)=NO2)cc1
CHEMBL3211930,COc1ccc(C(=O)Nc2ccccc2C(=O)N/N=C/c2ccncc2)cc1OC
CHEMBL1558159,Cc1c(NC(=O)c2coc(=O)c(Br)c2)c(=O)n(-c2ccccc2)n1C
CHEMBL1427218,O=C(/C=C/Nc1ccc(Oc2ccccc2)cc1)c1ccco1
CHEMBL1978730,CSc1ccc(/C=N/NC(=O)c2cccc(O)c2)cc1
CHEMBL1392611,Cc1c(C)c2ccc(OCC(=O)Nc3ccccn3)c(C)c2oc1=O
CHEMBL1306132,COc1ccc(N=Nc2n(C)c3ccccc3[n+]2C)cc1
CHEMBL1543238,O=C(/C=C\Nc1ccc2c(c1)OCO2)c1ccccn1
CHEMBL3198496,C/N=c1\scc(-c2cccs2)n1/N=C/c1ccc(O)c(O)c1O
CHEMBL1989440,COc1ccc(C(=O)O/N=C(\C)c2ccccc2)cc1
CHEMBL1406630,O=C(c1cc(-c2cccc(O)c2)on1)N1CCCCC1
CHEMBL1596719,O=C(/C=C/Nc1ccccc1F)c1cccs1
CHEMBL1524038,O=C(Nc1cccc(Cl)c1)Nc1ccccc1C(=O)O
CHEMBL1350152,CN(C)c1ccc(N/C=C/C(=O)c2ccccc2)cc1
CHEMBL1982658,COc1cc(/C=N/Nc2nncn2/N=C/c2ccc(O)c(OC)c2)ccc1O
CHEMBL1413806,O=C1N/C(=C\c2ccc(O)cc2)C(=O)c2ccccc21
CHEMBL1975118,Cc1nonc1C(=O)N/N=C/c1ccc(O)cc1O
CHEMBL1497019,COc1ccc2c(c1)sc1nc(-c3ccccc3)cn21
CHEMBL1579104,CC1=NC(=O)C(N=Nc2cccc(C(=O)O)c2)N1c1ccccc1
CHEMBL3194013,CN(CCO)c1ccc(/C=N/Nc2nncc3ccccc23)cc1
CHEMBL1996068,Cn1c(N/N=C/c2cc3ccccc3nc2Cl)nc2ccccc12
